metric,min,median,mean,p95,p99,stddev,n,failed_reasons
voters,10000,10000,10000,10000,10000,0,10,
positions,1,1,1,1,1,0,10,
candidates,4,4,4,4,4,0,10,
gen_wall_ms,1826,1860,1873.4,1991,1991,42.129,10,
gen_cpu_ms,25267,25799,25846.4,27247,27247,516.508,10,
proof_gen_cpu_ms,14250,14590,14654.4,15407,15407,296.236,10,
proof_verify_inproc_ms,1521,1536,1553.6,1661,1661,39.088,10,
aggregate_inproc_ms,14,14,14.2,16,16,0.6,10,
combine_inproc_ms,0,0,0,0,0,0,10,
decrypt_inproc_ms,3,3,3,3,3,0,10,
submit_window_ms,10083,10260,11636.7,15959,15959,2249.338,10,
committed,10000,10000,10000,10000,10000,0,10,
dropped,0,0,0,0,0,0,10,
committed_tps,626.577,968.985,886.59,991.732,991.732,141.557,10,
driver_ceiling_tps,888.522,908.179,908.452,922.53,922.53,10.083,10,
latency_min_ms,55.452,60.135,63.386,83.425,83.425,7.492,10,
latency_p50_ms,138.748,140.305,140.916,144.059,144.059,1.573,10,
latency_mean_ms,128.503,129.936,131.881,148.33,148.33,5.553,10,
latency_p95_ms,163.762,168.518,180.528,282.2,282.2,34.31,10,
latency_p99_ms,215.821,221.218,240.367,327.388,327.388,33.582,10,
latency_stddev_ms,28.668,30.627,33.606,57.612,57.612,8.163,10,
peak_cpu_pct_peer,332.99,359.63,361.683,384.68,384.68,17.334,10,
peak_cpu_pct_orderer,80.26,85.97,86.476,91.94,91.94,3.294,10,
peak_cpu_pct_client,78.687,85.902,88.854,122.102,122.102,11.476,10,
peak_mem_mb_peer,218.6,237.5,247.19,282.9,282.9,21.353,10,
peak_mem_mb_orderer,495.8,1007,1013.005,1528.832,1528.832,294.833,10,
peak_mem_mb_client,46.461,46.461,47.661,50.461,50.461,1.833,10,
verify_threads,16,16,16,16,16,0,10,
runs_measured,10,10,10,10,10,0,1,
runs_failed,0,0,0,0,0,0,1,
failure_rate,0,0,0,0,0,0,1,
