metric,min,median,mean,p95,p99,stddev,n,failed_reasons
voters,50000,50000,50000,50000,50000,0,5,
positions,1,1,1,1,1,0,5,
candidates,4,4,4,4,4,0,5,
gen_wall_ms,9412,9518,9501.6,9545,9545,47.407,5,
gen_cpu_ms,130016,131545,131272.4,131890,131890,657.82,5,
proof_gen_cpu_ms,73830,74538,74467,74901,74901,352.149,5,
proof_verify_inproc_ms,7824,7846,7844.4,7864,7864,15.832,5,
aggregate_inproc_ms,72,75,75.2,79,79,2.227,5,
combine_inproc_ms,0,0,0.6,3,3,1.2,5,
decrypt_inproc_ms,4,4,4.8,8,8,1.6,5,
submit_window_ms,53389,53572,54796.4,59954,59954,2579.74,5,
committed,50000,50000,50000,50000,50000,0,5,
dropped,0,0,0,0,0,0,5,
committed_tps,833.96,933.315,914.352,936.514,936.514,40.214,5,
driver_ceiling_tps,880.446,884.554,884.702,890.091,890.091,3.107,5,
latency_min_ms,58.834,60.138,63.263,69.49,69.49,4.607,5,
latency_p50_ms,143.805,144.705,144.683,145.38,145.38,0.507,5,
latency_mean_ms,136.141,136.626,136.816,138.125,138.125,0.679,5,
latency_p95_ms,179.013,180.279,182.376,192.782,192.782,5.228,5,
latency_p99_ms,225.385,230.078,235.155,253.013,253.013,9.937,5,
latency_stddev_ms,31.211,31.646,32.545,35.799,35.799,1.675,5,
peak_cpu_pct_peer,400.07,406.64,406.524,415.69,415.69,5.985,5,
peak_cpu_pct_orderer,101.35,103.63,105.532,115.51,115.51,5.089,5,
peak_cpu_pct_client,81.223,83.771,83.515,84.884,84.884,1.363,5,
peak_mem_mb_peer,322.2,348.2,351.96,372.6,372.6,18.244,5,
peak_mem_mb_orderer,1845.248,2640.896,2599.322,3280.896,3280.896,539.508,5,
peak_mem_mb_client,54.461,54.461,54.461,54.461,54.461,0,5,
verify_threads,16,16,16,16,16,0,5,
runs_measured,5,5,5,5,5,0,1,
runs_failed,0,0,0,0,0,0,1,
failure_rate,0,0,0,0,0,0,1,
