metric,min,median,mean,p95,p99,stddev,n,failed_reasons
voters,1000,1000,1000,1000,1000,0,10,
positions,3,3,3,3,3,0,10,
candidates,4,4,4,4,4,0,10,
gen_wall_ms,511,515,534.4,631,631,35.123,10,
gen_cpu_ms,6795,6862,7070.2,7946,7946,357.803,10,
proof_gen_cpu_ms,4229,4286,4404.3,4997,4997,234.324,10,
proof_verify_inproc_ms,454,457,473.3,576,576,35.276,10,
aggregate_inproc_ms,4,4,4.1,5,5,0.3,10,
combine_inproc_ms,1,1,1,1,1,0,10,
decrypt_inproc_ms,0,0,0.2,1,1,0.4,10,
submit_window_ms,2871,2936,2985.6,3170,3170,91.425,10,
committed,3000,3000,3000,3000,3000,0,10,
dropped,0,0,0,0,0,0,10,
committed_tps,946.193,1011.79,1005.598,1044.712,1044.712,30.188,10,
driver_ceiling_tps,904.863,932.787,931.249,955.454,955.454,15.205,10,
latency_min_ms,57.788,60.965,62.629,73.15,73.15,4.379,10,
latency_p50_ms,133.967,136.83,137.486,141.457,141.457,2.252,10,
latency_mean_ms,121.09,124.162,126.208,134.092,134.092,3.941,10,
latency_p95_ms,150.173,156.587,170.873,210.196,210.196,23.67,10,
latency_p99_ms,155.673,164.666,185.787,244.761,244.761,33.113,10,
latency_stddev_ms,25.222,26.49,28.712,36.137,36.137,3.94,10,
verify_threads,16,16,16,16,16,0,10,
runs_measured,10,10,10,10,10,0,1,
runs_failed,0,0,0,0,0,0,1,
failure_rate,0,0,0,0,0,0,1,
