metric,min,median,mean,p95,p99,stddev,n,failed_reasons
voters,10000,10000,10000,10000,10000,0,10,
positions,3,3,3,3,3,0,10,
candidates,4,4,4,4,4,0,10,
gen_wall_ms,5165,5277,5260.8,5347,5347,68.226,10,
gen_cpu_ms,69720,71133,71690.2,73351,73351,1072.946,10,
proof_gen_cpu_ms,43545,44502,44771.1,45901,45901,689.636,10,
proof_verify_inproc_ms,4574,4694,4700.4,4851,4851,77.858,10,
aggregate_inproc_ms,43,44,45.5,54,54,3.233,10,
combine_inproc_ms,1,1,1,1,1,0,10,
decrypt_inproc_ms,9,9,9,9,9,0,10,
submit_window_ms,31106,31400,33955,52479,52479,6320.659,10,
committed,30000,30000,30000,30000,30000,0,10,
dropped,0,0,0,0,0,0,10,
committed_tps,571.647,954.686,905.163,964.432,964.432,116.917,10,
driver_ceiling_tps,881.111,892.762,893.145,901.074,901.074,6.282,10,
latency_min_ms,55.229,63.112,64.868,82.56,82.56,7.779,10,
latency_p50_ms,142.052,142.818,143.32,145.271,145.271,1.012,10,
latency_mean_ms,132.413,133.462,134.827,142.729,142.729,3.013,10,
latency_p95_ms,171.782,175.107,181.091,214.159,214.159,12.961,10,
latency_p99_ms,211.962,226.372,230.164,289.26,289.26,21.245,10,
latency_stddev_ms,29.494,30.404,31.949,41.503,41.503,3.463,10,
peak_cpu_pct_peer,368.12,380.67,380.288,387.12,387.12,5.354,10,
peak_cpu_pct_orderer,88.53,93.33,93.204,96.8,96.8,2.204,10,
peak_cpu_pct_client,82.63,85.349,85.174,87.251,87.251,1.354,10,
peak_mem_mb_peer,295.6,342.8,359.71,404.5,404.5,39.275,10,
peak_mem_mb_orderer,1346.56,2326.528,2456.781,3527.68,3527.68,737.438,10,
peak_mem_mb_client,46.711,54.711,51.911,54.711,54.711,3.6,10,
verify_threads,16,16,16,16,16,0,10,
runs_measured,10,10,10,10,10,0,1,
runs_failed,0,0,0,0,0,0,1,
failure_rate,0,0,0,0,0,0,1,
