metric,min,median,mean,p95,p99,stddev,n,failed_reasons
voters,1000,1000,1000,1000,1000,0,10,
positions,1,1,1,1,1,0,10,
candidates,4,4,4,4,4,0,10,
gen_wall_ms,187,193,196.1,214,214,8.654,10,
gen_cpu_ms,2476,2552,2590.1,2845,2845,119.983,10,
proof_gen_cpu_ms,1381,1429,1448.6,1591,1591,67.12,10,
proof_verify_inproc_ms,1382,1414,1441.9,1565,1565,65.173,10,
aggregate_inproc_ms,1,1,1.1,2,2,0.3,10,
combine_inproc_ms,0,0,0,0,0,0,10,
decrypt_inproc_ms,0,0,0,0,0,0,10,
submit_window_ms,961,1005,1062,1220,1220,91.578,10,
committed,1000,1000,1000,1000,1000,0,10,
dropped,0,0,0,0,0,0,10,
committed_tps,819.637,948.479,948.001,1039.684,1039.684,79.12,10,
driver_ceiling_tps,790.74,943.165,926.651,1023.685,1023.685,65.274,10,
latency_min_ms,58.449,64.999,66.379,81.408,81.408,6.352,10,
latency_p50_ms,125.038,134.396,138.856,161.873,161.873,10.316,10,
latency_mean_ms,120.105,125.672,132.72,152.46,152.46,11.499,10,
latency_p95_ms,156.626,162.163,183.724,248.488,248.488,28.993,10,
latency_p99_ms,202.847,210.205,226.389,270.702,270.702,22.484,10,
latency_stddev_ms,28.497,29.818,33.347,47.37,47.37,5.578,10,
runs_measured,10,10,10,10,10,0,1,
runs_failed,0,0,0,0,0,0,1,
failure_rate,0,0,0,0,0,0,1,
