metric,min,median,mean,p95,p99,stddev,n,failed_reasons
voters,1000,1000,1000,1000,1000,0,10,
positions,3,3,3,3,3,0,10,
candidates,4,4,4,4,4,0,10,
gen_wall_ms,512,538,554.2,639,639,43.143,10,
gen_cpu_ms,6815,7144,7289.1,8296,8296,428.249,10,
proof_gen_cpu_ms,4189,4398,4488,5110,5110,267.427,10,
proof_verify_inproc_ms,4167,4275,4304.4,4593,4593,113.529,10,
aggregate_inproc_ms,4,4,4.3,6,6,0.64,10,
combine_inproc_ms,1,1,1.4,5,5,1.2,10,
decrypt_inproc_ms,0,0,0.3,2,2,0.64,10,
submit_window_ms,3007,3163,3325,4275,4275,363.042,10,
committed,3000,3000,3000,3000,3000,0,10,
dropped,0,0,0,0,0,0,10,
committed_tps,701.739,933.766,911.393,997.457,997.457,85.355,10,
driver_ceiling_tps,784.265,884.769,863.024,902.042,902.042,39.918,10,
latency_min_ms,59.35,64.121,67.876,89.038,89.038,8.032,10,
latency_p50_ms,141.9,144.247,148.646,163.21,163.21,7.152,10,
latency_mean_ms,127.1,133.734,140.579,180.991,180.991,15.393,10,
latency_p95_ms,160.657,179.589,203.546,370.814,370.814,60.132,10,
latency_p99_ms,163.15,221.1,242.645,468.281,468.281,85.354,10,
latency_stddev_ms,26.681,30.037,37.564,82.771,82.771,15.957,10,
runs_measured,10,10,10,10,10,0,1,
runs_failed,0,0,0,0,0,0,1,
failure_rate,0,0,0,0,0,0,1,
