metric,min,median,mean,p95,p99,stddev,n,failed_reasons
voters,50000,50000,50000,50000,50000,0,5,
positions,3,3,3,3,3,0,5,
candidates,4,4,4,4,4,0,5,
gen_wall_ms,25410,25552,25528.2,25638,25638,82.502,5,
gen_cpu_ms,348176,349311,349789.2,351818,351818,1286.791,5,
proof_gen_cpu_ms,214065,214785,215204.4,216488,216488,891.483,5,
proof_verify_inproc_ms,208087,208475,213154,229062,229062,8075.231,5,
aggregate_inproc_ms,211,212,212.8,215,215,1.47,5,
combine_inproc_ms,1,1,1,1,1,0,5,
decrypt_inproc_ms,19,19,19,19,19,0,5,
submit_window_ms,175996,186617,189876.8,220097,220097,15995.805,5,
committed,150000,150000,150000,150000,150000,0,5,
dropped,0,0,0,0,0,0,5,
committed_tps,681.515,803.781,795.158,852.29,852.29,61.549,5,
driver_ceiling_tps,838.05,860.134,855.573,870.688,870.688,12.038,5,
latency_min_ms,54.701,59.177,61.243,71.04,71.04,6.21,5,
latency_p50_ms,147.01,148.814,149.637,152.735,152.735,2.114,5,
latency_mean_ms,149.82,151.139,153.382,158.735,158.735,3.598,5,
latency_p95_ms,245.654,252.353,251.185,257.323,257.323,4.293,5,
latency_p99_ms,281.197,306.017,298.664,315.312,315.312,14.418,5,
latency_stddev_ms,45.656,52.09,50.192,54.179,54.179,3.371,5,
peak_cpu_pct_peer,394.38,401.92,414.386,463.49,463.49,25.591,5,
peak_cpu_pct_orderer,77.37,84.12,84.65,96.13,96.13,7.077,5,
peak_cpu_pct_client,77.844,81.167,81.378,84.347,84.347,2.527,5,
peak_mem_mb_peer,457.8,1350.656,1401.361,2432,2432,704.65,5,
peak_mem_mb_orderer,3933.184,5025.792,4824.678,5344.256,5344.256,505.411,5,
peak_mem_mb_client,75.215,79.215,78.54,79.527,79.527,1.668,5,
runs_measured,5,5,5,5,5,0,1,
runs_failed,0,0,0,0,0,0,1,
failure_rate,0,0,0,0,0,0,1,
