metric,min,median,mean,p95,p99,stddev,n,failed_reasons
voters,50000,50000,50000,50000,50000,0,5,
positions,1,1,1,1,1,0,5,
candidates,4,4,4,4,4,0,5,
gen_wall_ms,9084,9216,9198,9295,9295,73.813,5,
gen_cpu_ms,125636,126990,126987,128297,128297,859.069,5,
proof_gen_cpu_ms,69978,70830,70770,71567,71567,509.645,5,
proof_verify_inproc_ms,69740,75286,75061,80947,80947,3736.713,5,
aggregate_inproc_ms,69,71,71,73,73,1.265,5,
combine_inproc_ms,0,0,0,0,0,0,5,
decrypt_inproc_ms,4,4,4,4,4,0,5,
submit_window_ms,52329,52529,52568.6,52884,52884,214.206,5,
committed,50000,50000,50000,50000,50000,0,5,
dropped,0,0,0,0,0,0,5,
committed_tps,945.456,951.843,951.147,955.487,955.487,3.872,5,
driver_ceiling_tps,893.091,905.469,904.016,913.26,913.26,8.016,5,
latency_min_ms,54.032,64.689,65.676,80.705,80.705,9.105,5,
latency_p50_ms,140.157,141.363,141.601,143.322,143.322,1.258,5,
latency_mean_ms,131.902,133.588,133.637,134.745,134.745,0.983,5,
latency_p95_ms,175.632,176.562,176.922,179.53,179.53,1.392,5,
latency_p99_ms,214.573,231.605,230.538,248.644,248.644,11.129,5,
latency_stddev_ms,30.27,31.07,32.071,35.733,35.733,1.963,5,
peak_cpu_pct_peer,389.72,406.15,403.744,412.68,412.68,8.186,5,
peak_cpu_pct_orderer,90.08,91.05,91.442,93.51,93.51,1.318,5,
peak_cpu_pct_client,82.633,85.62,84.718,85.91,85.91,1.317,5,
peak_mem_mb_peer,330.8,371.6,364.26,383.5,383.5,19.39,5,
peak_mem_mb_orderer,1871.872,2568.192,2597.888,3328,3328,544.65,5,
peak_mem_mb_client,50.211,50.211,50.211,50.211,50.211,0,5,
runs_measured,5,5,5,5,5,0,1,
runs_failed,0,0,0,0,0,0,1,
failure_rate,0,0,0,0,0,0,1,
